node,community,strength,expected_influence,bridge_strength
A01,EXT,0.9559377869475737,0.6554244502707733,0.20032790834499867
A02,EXT,0.8842887269174067,0.7164954520740325,0.14639408574849347
A03,EXT,1.1921526760690422,0.9332953263340904,0.3822961224673864
A04,EXT,0.7957289214498039,0.6888855764376905,0.11372515524116639
A05,EXT,1.211341034595037,1.1271889100570145,0.19061242489413807
A06,EXT,1.1526760609910933,1.0602947295387108,0.18353067287167196
A07,EXT,0.8907740279797054,0.7665342592507386,0.20618130676488555
B01,EXT,1.0155960888751738,1.0155960888751738,0.18300383732708195
B02,EXT,1.123874642591557,1.0432546893569725,0.1269979121864771
B03,EXT,1.0103860046959134,0.8650184120479225,0.19059013152502155
B04,EXT,1.2037244589684388,1.0519664615255067,0.21446330337236347
B05,EXT,1.1100611022323563,1.0673822397019135,0.39598409225050596
B06,EXT,1.1456764280314806,0.886324511389479,0.8210777089938597
C01,INT,0.9136969205130651,0.8284710043015818,0.25363567757821437
C02,INT,1.0960430730495665,0.9649490029001198,0.1331440897396612
C03,INT,1.1529790386575396,1.0552341524773405,0.12110192537949827
C04,INT,1.0278342336914918,0.882154022660246,0.2004896482595848
C05,INT,0.9553820911730215,0.8022209303528484,0.10167204865674741
C06,INT,1.147520761276706,0.8456648485648617,0.23427687833194208
C07,INT,0.8954143874789192,0.858349571152594,0.10983866106002912
C08,INT,1.0426860210646383,1.0396514220029753,0.059644590536287775
D01,INT,1.0701523528936114,0.9085439035777316,0.11533882054052944
D02,INT,1.3039463679479137,1.0033340260204342,0.09215407227250957
D03,INT,1.037693526277181,1.0203159966132447,0.12335702928183742
D04,INT,1.2548245672075047,0.8959375596650105,0.09398334615982983
D05,INT,1.3013457507995394,0.7956579112261408,0.20365574601172684
E01,INT,1.161082091625678,1.0712254010534608,0.07118664190655641
E02,INT,1.3674954474355436,1.2499053168683802,0.20366335717745998
E03,INT,1.1894475872440022,1.0006732119148134,0.12506459441473916
E04,INT,1.0622501724872815,0.8215732503892237,0.08510398140728472
E05,INT,1.0536780509254118,0.8305295097411597,0.27910929725196953
E06,INT,1.1787928793432696,1.0548704897652978,0.23663473774572677
E07,INT,1.0184880447963023,0.9305682532865389,0.14033728566686282
E08,INT,1.1987209014360956,0.9652186408514355,0.19337794992953133
E09,INT,1.0200143948255385,0.8952803195542398,0.09832975342101791
E10,INT,1.163270343962768,1.142306140328532,0.08008452925850362
